timestamp -> D4,D7Π,D17,D12Π,D13,D11Π,D20,D22Π,D23,D19Π,D21,D18Π,D14,D15Π,D10,D16Π,Class
19:11:16.589 -> 1743,1997,2692,4095,4095,4095,4095,4095,908,4095,2947,3416,4095,4095,0,4095,0
19:11:16.636 -> 239,105,764,1987,115,1670,1628,1912,0,4095,0,191,252,4095,158,3968,0
19:11:16.636 -> 298,1866,509,4095,2047,4095,4095,4095,3269,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.636 -> 2857,3319,4095,4095,4095,4095,4095,4095,2607,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.636 -> 2771,3248,4095,4095,4095,4095,4095,4095,2544,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.636 -> 2659,3265,4095,4095,4095,4095,4095,4095,2352,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.636 -> 2898,2590,4095,4095,4095,4095,4095,4095,1605,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.636 -> 2246,2186,4095,4095,4095,4095,4095,4095,1574,4095,4095,4095,4095,4095,2703,4095,0
19:11:16.683 -> 1857,2091,3238,4095,4095,4095,4095,4095,1085,4095,3295,4095,4095,4095,2545,4095,0
19:11:16.683 -> 1777,1994,2841,4095,4095,4095,4095,4095,1046,4095,2821,3555,4095,4095,218,3929,0
19:11:16.683 -> 215,231,1074,1744,771,1678,18,1984,0,4095,1058,196,247,4095,0,3521,0
19:11:16.683 -> 306,1668,2459,4095,4095,1977,1434,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.683 -> 2703,2655,4095,4095,4095,4095,4095,4095,2636,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.683 -> 2738,3273,4095,4095,4095,4095,4095,4095,2555,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.683 -> 2672,3265,4095,4095,4095,4095,4095,4095,2567,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.731 -> 2695,3136,4095,4095,4095,4095,4095,4095,1855,4095,4095,4095,4095,4095,4095,4095,0
19:11:16.731 -> 2251,2179,4095,4095,4095,4095,4095,4095,1395,4095,4095,4095,4095,4095,4095,4095,0
